KuritaB,,,,,,,,,
,,,,,,,,,
Salvage:SteinerB,0,,10,,10,,0,,0
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z
Lights,,,,,,,,,
mechdef_stinger_STG-3R,43,,41,,40,,24,,0
mechdef_wasp_WSP-1W,0,Jump:3028-05-25T00:00:00Z,2,,1,,0,,0
mechdef_wasp_WSP-1K,43,,41,,40,,24,,0
mechdef_wasp_WSP-1A,141,,135,,133,,16,,0
mechdef_locust_LCT-1V,141,,135,,134,,24,,0
mechdef_ostscout_OTT-7K,0,,0,,0,,18,,13
mechdef_locust_LCT-3V,8,,7,,7,,8,,6
mechdef_raptor_RTX-OD,0,,0,,0,3052-01-01T00:00:00Z,67,,64
mechdef_stinger_STG-3G,12,,11,,11,,12,,0
mechdef_thorn_THE-T,0,3038-01-01T00:00:00Z,7,,7,,12,,7
mechdef_spider_SDR-5K,4,,4,,4,,0,,0
mechdef_thorn_THE-S,0,,0,,11,,21,,5
mechdef_urbanmech_UM-R60,34,,33,,20,,27,,27
mechdef_kabuto_KBO-7A,0,,0,,0,,0,3059-01-01T00:00:00Z,27
mechdef_hussar_HSR-300-D,0,Jump:3039-01-01T00:00:00Z,11,,20,,21,,14
mechdef_javelin_JVN-10N,21,,20,,20,,12,,0
mechdef_ostscout_OTT-7J,21,,20,,20,,12,,0
mechdef_raptor_RTX-OE,0,,0,,0,,0,3058-01-01T00:00:00Z,19
mechdef_hermes_HER-1A,8,,7,,7,,8,,0
mechdef_falcon_FLC-4N,4,,7,,7,,8,,6
mechdef_raptor_RTX-OB,0,,0,,0,3052-01-01T00:00:00Z,21,,19
mechdef_spider_SDR-7M,0,,0,,0,3051-01-01T00:00:00Z,42,,48
mechdef_spider_SDR-5V,43,,41,,40,,42,,6
mechdef_hussar_HSR-200-D,0,,0,,7,,8,,6
mechdef_owens_OW-1D,0,,0,,0,3056-01-01T00:00:00Z,21,,33
mechdef_tarantula_ZPH-1,0,,0,,0,,0,3058-01-01T00:00:00Z,6
mechdef_owens_OW-1A,0,,0,,0,3056-01-01T00:00:00Z,21,,33
mechdef_hermes_HER-1B,4,,4,,4,,4,,3
mechdef_firestarter_FS9-H,68,,66,,64,,29,,0
mechdef_hermes_HER-1S,0,,0,,4,,4,,2
mechdef_raptor_RTX-O,0,,0,,0,3052-01-01T00:00:00Z,21,,19
mechdef_hussar_HSR-350-D,0,3038-01-01T00:00:00Z,4,,4,,4,,2
